backbone,method,completed_rows,total_rows,blocked_rows,mean_mse,mean_mae,mean_mse_delta_pct_vs_raw,median_mse_delta_pct_vs_raw,improved_configs,max_mse_harm_pct,best_mse_gain_pct,test_threshold_leakage
DLinear,DishTS,84,84,0,18230.36359265711,41.06765915532881,-14.093889660161794,-11.773295917886648,67,66.63577519231838,-74.68205372236612,False
DLinear,HalluGuard-LRBN,84,84,0,18027.017880917185,39.63843672699873,-19.243374986179735,-11.189575889978844,72,10.481840918999024,-79.29595606956936,False
DLinear,NST,84,84,0,18035.207842572727,39.67995752571716,-19.08779063078419,-10.656346529797327,72,10.473139893030712,-78.79321974521076,False
DLinear,RevIN,84,84,0,18032.009603113773,39.64914729177593,-19.138724960799646,-10.610518066948195,72,11.077848544280002,-78.75993112133851,False
DLinear,SAN,84,84,0,18116.82432423953,41.097244296198106,-10.830272457355868,-9.149224531563139,69,105.05423437456714,-52.26111463093938,False
DLinear,TAFAS,84,84,0,16930.798794070764,40.731429561813236,0.35496139196065146,-0.17543209515017194,46,19.363954137379014,-16.285574324924333,False
DLinear,ema_smoothing,84,84,0,20437.04009458905,45.682961559564355,16.07380595154993,0.8136296475483248,30,99.44955387596546,-2.569879545608192,False
DLinear,matched_sparse_smoothing,84,84,0,17189.29888025624,41.22397412279388,0.9619830816624615,0.017259031454989332,39,6.143457961098659,-0.2876910984970238,False
DLinear,median_smoothing,84,84,0,16983.87948070907,40.81426838143143,0.1872504470163189,-0.001425507992725161,44,3.041102244407773,-0.9385688132198743,False
DLinear,naive_smoothing,84,84,0,17189.17678396976,41.22344136315449,0.9477768145709726,0.017259031454989332,39,6.143457961098659,-0.29926576697490526,False
DLinear,raw_no_correction,84,84,0,16922.01356176994,40.706804376942465,0.0,0.0,0,0.0,0.0,False
PatchTST,DishTS,84,84,0,16800.557344697874,38.04505460649451,0.6427279782039372,0.8571900791613896,29,14.344494284828246,-11.436046142616537,False
PatchTST,HalluGuard-LRBN,84,84,0,16536.042648732906,37.82908167129899,-0.2238363589101813,-0.09784087076719919,43,7.813894428470166,-11.982724076162224,False
PatchTST,NST,84,84,0,16639.680224281667,37.924485195386865,0.36981410614276267,0.06759721817637233,41,10.400962860680457,-9.191025121843161,False
PatchTST,RevIN,84,84,0,16524.952999055786,37.82390632246838,0.01602342505651092,-0.13931819496289716,44,7.325805343877485,-7.246174439844491,False
PatchTST,SAN,84,84,0,19104.848589711957,42.42744657882966,34.277459408836094,5.3845544258674956,23,288.0688608523506,-19.245710645472524,False
PatchTST,TAFAS,84,84,0,16435.19371168076,37.73068114387508,0.08040983718243802,-0.05813375025845678,45,9.39250588607541,-9.559412440384905,False
PatchTST,ema_smoothing,84,84,0,19147.88830356373,41.47885174925194,20.76603316180472,0.6809803213492993,25,140.03473493627854,-2.2501985899230847,False
PatchTST,matched_sparse_smoothing,84,84,0,16702.35656147459,38.058288043419225,1.2874941269158224,-0.009650938199397252,50,8.62172181071424,-0.30500047652715206,False
PatchTST,median_smoothing,84,84,0,16492.35291693933,37.7462232166694,0.06944331169285904,-0.08588370588432884,53,1.353355713749074,-0.960733221629463,False
PatchTST,naive_smoothing,84,84,0,16702.16052301357,38.0547582937181,1.2078650649403848,-0.11244044754994895,51,8.62172181071424,-1.1001857444782785,False
PatchTST,raw_no_correction,84,84,0,16331.881933085615,37.62717363705983,0.0,0.0,0,0.0,0.0,False
TimeMixer,DishTS,84,84,0,17408.672339546793,38.71945053256123,0.8938227050742679,0.8190163791373785,30,24.08991004089886,-16.523294949809035,False
TimeMixer,HalluGuard-LRBN,84,84,0,17596.758574034593,38.90655966419078,0.25090766436793166,0.19641928420630406,37,9.042628037558929,-10.21042760373774,False
TimeMixer,NST,84,84,0,17160.380539668666,38.53637689529527,-0.4298674847937346,-0.1129561037815118,44,6.594275632021524,-7.827053301240497,False
TimeMixer,RevIN,84,84,0,17541.060131806233,38.813980178938834,0.42392083771841854,0.08260656464740955,38,21.933587366189848,-6.9266485267754625,False
TimeMixer,SAN,84,84,0,19927.35301997449,42.87487416467747,44.76930321313819,5.505641404813167,18,645.3047368447418,-13.805793443165578,False
TimeMixer,TAFAS,84,84,0,17668.85000368696,39.01837841293349,-0.10963811908794241,0.10153834235670185,41,13.334628071286902,-10.245106818215872,False
TimeMixer,ema_smoothing,84,84,0,19773.85478777855,41.874876228619655,18.981824354761375,0.9421269006524606,31,141.95790184868943,-1.8933514617703353,False
TimeMixer,matched_sparse_smoothing,84,84,0,17292.17230833419,38.51282944476651,0.2930509863571603,-0.03820225612024464,54,5.843729543308024,-1.1729656814059173,False
TimeMixer,median_smoothing,84,84,0,17199.699114350733,38.40676789545263,-0.14982704486024606,-0.15934881631992331,67,0.6443096965877478,-1.4850699155778806,False
TimeMixer,naive_smoothing,84,84,0,17292.0216332272,38.50951866234408,0.19531228289777533,-0.17541354215481086,59,5.843729543308024,-1.175961866907031,False
TimeMixer,raw_no_correction,84,84,0,17180.158601733845,38.49411879434045,0.0,0.0,0,0.0,0.0,False
TimesNet,DishTS,84,84,0,18279.83278789891,39.02556862909834,0.2965944400087199,0.7260239767197592,31,28.36955270163316,-19.2162245254691,False
TimesNet,HalluGuard-LRBN,84,84,0,17698.882304708095,38.476005025231146,0.21586574699486907,0.0050876960964495906,42,12.811436045966696,-9.842731360648388,False
TimesNet,NST,84,84,0,18242.347725470125,38.92256633917399,0.7503309851023084,0.3169348214630763,38,18.311125432194174,-13.008187682378649,False
TimesNet,RevIN,84,84,0,17461.63804154103,38.339390931532705,0.0915393105261958,-0.1035806963326088,43,11.29612321083238,-11.671885898398047,False
TimesNet,SAN,84,84,0,20624.63294759117,42.55058267591897,28.35422033621971,6.031133774967293,20,254.1474753061322,-8.046995092789494,False
TimesNet,TAFAS,84,84,0,17344.966438390733,38.15048568299407,-0.1400241857860935,-0.42900248811325203,47,17.251937413806356,-11.437768827179195,False
TimesNet,ema_smoothing,84,84,0,20683.380666810317,42.44486951100561,19.02312256693986,0.7512302871667305,34,133.6404466688511,-1.0625398067718426,False
TimesNet,matched_sparse_smoothing,84,84,0,17676.64410152421,38.347072649763135,0.38268546568080547,-0.08604825102434836,58,4.863697442378345,-2.0669625575173023,False
TimesNet,median_smoothing,84,84,0,17673.066054392064,38.41218874337068,-0.0434880441474731,-0.044544365792647964,58,0.4273397309589946,-0.8153823151547906,False
TimesNet,naive_smoothing,84,84,0,17676.649733497212,38.34777658751176,0.4037400872126343,-0.0887402947564371,56,4.863697442378345,-2.0669625575173023,False
TimesNet,raw_no_correction,84,84,0,17682.40936822458,38.51020384734479,0.0,0.0,0,0.0,0.0,False
iTransformer,DishTS,84,84,0,17814.126850080644,39.61921121966562,0.17926903022525806,0.38753317173447366,27,13.538186212649267,-8.181519357427442,False
iTransformer,HalluGuard-LRBN,84,84,0,17903.96918517183,39.82313473818641,0.024563362460065952,-0.015301491868504193,43,5.410826003796834,-5.2820690329424815,False
iTransformer,NST,84,84,0,17957.005348272716,39.89866220698638,0.31996664166256916,0.21850007143788042,37,9.849185524397544,-2.8959141073699652,False
iTransformer,RevIN,84,84,0,17986.245046802553,39.935744902552145,0.14664990673207937,0.02165192113378524,41,6.040411373220511,-6.210622610321062,False
iTransformer,SAN,84,84,0,19956.835761736642,42.910514303279456,16.37079065968381,1.9613506003738315,28,149.59232039000045,-9.900860080720596,False
iTransformer,TAFAS,84,84,0,17887.795068399184,39.85200947724521,-0.2905758443702136,-0.3324698452301159,54,6.022905679370297,-5.038436564419504,False
iTransformer,ema_smoothing,84,84,0,20706.743009674337,42.99004456174626,14.607129895339185,0.8120684219890331,24,89.74249701876145,-1.2757807333729887,False
iTransformer,matched_sparse_smoothing,84,84,0,17726.968511441253,39.40958917626327,-0.03337447874956817,-0.07684133729070378,67,0.947784515877055,-0.38858330918349826,False
iTransformer,median_smoothing,84,84,0,17708.180236132474,39.48410219054284,-0.08387805300902058,-0.10033647619291453,66,0.2868059470786036,-0.3715742444274733,False
iTransformer,naive_smoothing,84,84,0,17726.95885223191,39.41030499790806,-0.0004161733924601872,-0.10363344090715279,61,0.947784515877055,-0.38858330918349826,False
iTransformer,raw_no_correction,84,84,0,17753.543309100285,39.647755903569454,0.0,0.0,0,0.0,0.0,False
